P2331mbank_267 x P773mbank_4531: [0.0, ' 0']
P2331mbank_267 x P773mbank_4532: [0.0125, ' 0']
P2331mbank_267 x P773mbank_4533: [0.0, ' 0']
P2331mbank_267 x P773mbank_4534: [2.0256410256410255, ' 1']
P2331mbank_267 x P773mbank_4535: [0.2868352775358415, ' 0']
P2331mbank_267 x P773mbank_4536: [0.00847457627118644, ' 0']
P2331mbank_267 x P773mbank_4537: [2.0307692307692307, ' 1']
P2331mbank_267 x P773mbank_4538: [0.00847457627118644, ' 0']
P2331mbank_267 x P773mbank_4539: [0.01818181818181818, ' 0']
P2331mbank_267 x P773mbank_4540: [0.0, ' 0']
P2331mbank_267 x P773mbank_4541: [0.5328659182478859, ' 0']
P2331mbank_268 x P773mbank_4531: [0.07999199363043685, ' 0']
P2331mbank_268 x P773mbank_4532: [0.06891314188230209, ' 0']
P2331mbank_268 x P773mbank_4533: [0.02564102564102564, ' 0']
P2331mbank_268 x P773mbank_4534: [0.03508771929824561, ' 0']
P2331mbank_268 x P773mbank_4535: [0.041237113402061855, ' 0']
P2331mbank_268 x P773mbank_4536: [0.039473684210526314, ' 0']
P2331mbank_268 x P773mbank_4537: [0.03508771929824561, ' 0']
P2331mbank_268 x P773mbank_4538: [0.054629851796140924, ' 0']
P2331mbank_268 x P773mbank_4539: [0.0, ' 0']
P2331mbank_268 x P773mbank_4540: [0.0273972602739726, ' 0']
P2331mbank_268 x P773mbank_4541: [0.025974025974025976, ' 0']
P2331mbank_269 x P773mbank_4531: [0.06517927921139967, ' 0']
P2331mbank_269 x P773mbank_4532: [0.05936925791824391, ' 0']
P2331mbank_269 x P773mbank_4533: [0.0, ' 0']
P2331mbank_269 x P773mbank_4534: [0.0, ' 0']
P2331mbank_269 x P773mbank_4535: [0.02857142857142857, ' 0']
P2331mbank_269 x P773mbank_4536: [0.07727936412057153, ' 0']
P2331mbank_269 x P773mbank_4537: [0.0, ' 0']
P2331mbank_269 x P773mbank_4538: [0.10183915014392125, ' 0']
P2331mbank_269 x P773mbank_4539: [0.017241379310344827, ' 0']
P2331mbank_269 x P773mbank_4540: [0.04424778761061947, ' 0']
P2331mbank_269 x P773mbank_4541: [0.0, ' 0']
P2331mbank_270 x P773mbank_4531: [0.014925373134328358, ' 0']
P2331mbank_270 x P773mbank_4532: [0.03305894799666528, ' 0']
P2331mbank_270 x P773mbank_4533: [0.0, ' 0']
P2331mbank_270 x P773mbank_4534: [0.14729147730939074, ' 0']
P2331mbank_270 x P773mbank_4535: [0.15940796941495716, ' 0']
P2331mbank_270 x P773mbank_4536: [0.06556245686680469, ' 0']
P2331mbank_270 x P773mbank_4537: [0.16044937204623283, ' 0']
P2331mbank_270 x P773mbank_4538: [0.059796585915038496, ' 0']
P2331mbank_270 x P773mbank_4539: [0.015384615384615385, ' 0']
P2331mbank_270 x P773mbank_4540: [0.03225806451612903, ' 0']
P2331mbank_270 x P773mbank_4541: [0.07286431823714809, ' 0']
P2331mbank_271 x P773mbank_4531: [0.009433962264150943, ' 0']
P2331mbank_271 x P773mbank_4532: [0.0444021724454394, ' 0']
P2331mbank_271 x P773mbank_4533: [0.0, ' 0']
P2331mbank_271 x P773mbank_4534: [0.4865771553964008, ' 0']
P2331mbank_271 x P773mbank_4535: [0.2011281685662207, ' 0']
P2331mbank_271 x P773mbank_4536: [0.029411764705882353, ' 0']
P2331mbank_271 x P773mbank_4537: [0.4865771553964008, ' 0']
P2331mbank_271 x P773mbank_4538: [0.06870698167857466, ' 0']
P2331mbank_271 x P773mbank_4539: [0.0, ' 0']
P2331mbank_271 x P773mbank_4540: [0.0, ' 0']
P2331mbank_271 x P773mbank_4541: [0.22880107897672647, ' 0']
P2331mbank_272 x P773mbank_4531: [0.0, ' 0']
P2331mbank_272 x P773mbank_4532: [0.0, ' 0']
P2331mbank_272 x P773mbank_4533: [0.0, ' 0']
P2331mbank_272 x P773mbank_4534: [0.0, ' 0']
P2331mbank_272 x P773mbank_4535: [0.0, ' 0']
P2331mbank_272 x P773mbank_4536: [0.0, ' 0']
P2331mbank_272 x P773mbank_4537: [0.0, ' 0']
P2331mbank_272 x P773mbank_4538: [0.0, ' 0']
P2331mbank_272 x P773mbank_4539: [0.0, ' 0']
P2331mbank_272 x P773mbank_4540: [0.0, ' 0']
P2331mbank_272 x P773mbank_4541: [0.0, ' 0']
